Image,Brand,Product_URL,Product
,Pantaloons Baby,https://www.myntra.com/clothing-set/pantaloons-baby/pantaloons-baby-girls-blue--white-pure-cotton-striped-t-shirt/20397480/buy,Pure Cotton Striped T-shirt
,Ed-a-Mamma Baby,https://www.myntra.com/dresses/ed-a-mamma-baby/ed-a-mamma-baby-multicoloured-a-line-dress/22120068/buy,A-Line Dress
,CATCUB,https://www.myntra.com/clothing-set/catcub/catcub-girls-red-girls-cotton-top--shorts-hot-pants-clothing-set/19468238/buy,Girls Clothing Set
,Pantaloons Baby,https://www.myntra.com/clothing-set/pantaloons-baby/pantaloons-baby-girls-white--navy-blue-printed-top-with-pyjamas/20226570/buy,Girls Printed Top with Pyjamas
,Pantaloons Baby,https://www.myntra.com/shorts/pantaloons-baby/pantaloons-baby-boys-yellow-printed-regular-shorts/15293172/buy,Boys Printed Regular Shorts
,Pantaloons Baby,https://www.myntra.com/shorts/pantaloons-baby/pantaloons-baby-boys-blue-ombre-printed-cotton-shorts/17302122/buy,Boys Ombre Printed Shorts
,BABY GO,https://www.myntra.com/rompers/baby-go/baby-go-kids-beige--blue-striped-cotton-rompers/13886282/buy,Kids Striped Cotton Rompers
,Pantaloons Baby,https://www.myntra.com/dresses/pantaloons-baby/pantaloons-baby-girls-embellished-fit--flare-dress/21051344/buy,Embellished Fit & Flare Dress
,CATCUB,https://www.myntra.com/clothing-set/catcub/catcub-girls-yellow-clothing-set/19463472/buy,Girls Clothing Set
,Tiny Girl,https://www.myntra.com/clothing-set/tiny-girl/tiny-girl-printed-pure-cotton-round-neck-top-with-skirt-clothing-set/17334802/buy,Top with Skirt Clothing Set
,CATCUB,https://www.myntra.com/clothing-set/catcub/catcub-girls-cotton-clothing-set/19974656/buy,Girls Cotton Clothing Set
,Pantaloons Baby,https://www.myntra.com/jackets/pantaloons-baby/pantaloons-baby-boys-navy-blue-padded-jacket/20137922/buy,Boys Padded Jacket
,BABY GO,https://www.myntra.com/clothing-set/baby-go/baby-go-boys-white--grey-printed-t-shirt-with-shorts/13890380/buy,Boys Printed T-shirt with Shorts
